purpose,grade,loan_status_clean,loan_count,avg_return_vs_purpose_avg
credit_card,C,Fully Paid,33008,13.22
major_purchase,C,Fully Paid,2810,12.48
debt_consolidation,F,Fully Paid,6207,29.3
credit_card,A,Fully Paid,44375,1.92
medical,B,Fully Paid,1229,6.41
home_improvement,E,Charged Off,1111,-47.19
moving,E,Charged Off,231,-46.31
car,F,Charged Off,55,-57.18
house,A,Charged Off,8,-40.39
debt_consolidation,D,Charged Off,21484,-45.69
home_improvement,C,Fully Paid,9317,11.8
other,C,Fully Paid,8701,9.48
other,B,Charged Off,589,-46.19
debt_consolidation,G,Charged Off,1276,-47.56
car,E,Fully Paid,210,17.66
medical,D,Charged Off,402,-49.1
medical,F,Charged Off,109,-44.82
major_purchase,G,Charged Off,39,-51.69
house,B,Charged Off,32,-45.91
vacation,B,Charged Off,86,-47.53
major_purchase,E,Fully Paid,550,21.73
medical,C,Charged Off,408,-46.24
car,D,Charged Off,181,-45.32
house,G,Charged Off,57,-50.46
small_business,A,Fully Paid,111,3.12
house,F,Charged Off,94,-46.6
car,G,Fully Paid,10,30.59
car,B,Fully Paid,1672,5.79
home_improvement,D,Charged Off,1571,-45.89
debt_consolidation,E,Charged Off,14319,-47.07
moving,C,Fully Paid,1075,10.09
house,E,Charged Off,151,-44.53
house,D,Charged Off,145,-49.03
vacation,G,Fully Paid,10,39.94
car,C,Charged Off,288,-46.17
medical,G,Fully Paid,40,31.59
vacation,F,Charged Off,33,-55.79
other,D,Charged Off,1987,-45.77
small_business,G,Fully Paid,158,33.05
major_purchase,B,Charged Off,408,-46.26
credit_card,F,Fully Paid,810,30.66
renewable_energy,E,Charged Off,17,-45.52
medical,A,Charged Off,16,-54.78
debt_consolidation,C,Fully Paid,101629,13.05
other,E,Fully Paid,3088,19.65
car,A,Fully Paid,1298,1.02
small_business,D,Fully Paid,1392,17.49
home_improvement,B,Fully Paid,10466,6.34
small_business,C,Charged Off,306,-44.25
home_improvement,A,Fully Paid,7655,1.1
renewable_energy,B,Fully Paid,32,6.05
vacation,D,Fully Paid,826,13.48
renewable_energy,C,Fully Paid,90,9.1
small_business,B,Charged Off,74,-43.01
major_purchase,A,Charged Off,129,-43.25
moving,G,Charged Off,27,-49.29
vacation,A,Charged Off,9,-42.57
debt_consolidation,C,Charged Off,26983,-44.6
small_business,C,Fully Paid,1323,12.74
small_business,D,Charged Off,521,-44.26
other,E,Charged Off,1379,-45.84
home_improvement,B,Charged Off,1383,-46.04
major_purchase,A,Fully Paid,2397,2.29
small_business,B,Fully Paid,491,8.03
home_improvement,A,Charged Off,373,-44.85
vacation,D,Charged Off,212,-48.62
moving,G,Fully Paid,35,36.82
renewable_energy,C,Charged Off,19,-48.75
vacation,A,Fully Paid,198,-0.3
car,A,Charged Off,53,-39.45
renewable_energy,B,Charged Off,2,-17.82
renewable_energy,A,Fully Paid,9,-0.08
debt_consolidation,E,Fully Paid,22291,23.37
car,C,Fully Paid,1305,11.08
home_improvement,D,Fully Paid,4676,16.9
house,D,Fully Paid,482,14.17
house,E,Fully Paid,357,18.02
vacation,F,Fully Paid,85,25.97
car,B,Charged Off,172,-44.19
medical,G,Charged Off,34,-51.25
moving,C,Charged Off,211,-48.33
vacation,G,Charged Off,10,-51.36
major_purchase,B,Fully Paid,3092,7.53
other,D,Fully Paid,6612,14.66
credit_card,F,Charged Off,618,-48.57
small_business,G,Charged Off,144,-48.58
