purpose,loan_count,total_realized_pnl,total_funded_amnt,avg_months_outstanding,portfolio_return_pct,portfolio_annualized_return_pct
major_purchase,12696,7289186.02,151533900.0,24.11,4.81,2.39
small_business,6599,5421717.59,102246675.0,23.51,5.3,2.71
moving,4232,1909401.03,33240100.0,22.55,5.74,3.06
vacation,3911,1472198.2,24238650.0,23.41,6.07,3.11
renewable_energy,383,222421.87,3788850.0,22.18,5.87,3.18
car,6012,3731122.64,55749550.0,24.03,6.69,3.34
medical,6815,3975267.55,60006900.0,23.46,6.62,3.39
debt_consolidation,437209,487120228.04,6659319950.0,24.29,7.31,3.61
home_improvement,42354,44718927.42,601477575.0,24.32,7.43,3.67
credit_card,175296,210556735.41,2653078950.0,25.89,7.94,3.68
other,33685,26028928.98,329094300.0,23.96,7.91,3.96
house,2726,3094200.31,39897075.0,21.77,7.76,4.28
