purpose,loan_count,default_rate_pct,avg_pnl_per_loan,total_pnl,avg_return_pct,avg_int_rate,avg_loan_amnt,risk_rank
small_business,6614,27.49,794.79,5256735.47,6.58,17.61,15487.22,1
major_purchase,12714,17.73,559.21,7109801.46,6.72,12.94,11937.18,2
debt_consolidation,437485,20.02,1105.4,483595963.74,7.14,13.49,15231.05,3
moving,4240,22.33,441.47,1871820.95,7.3,16.5,7849.51,4
medical,6837,20.02,558.03,3815263.35,7.6,14.98,8806.26,5
renewable_energy,384,22.4,563.8,216498.5,7.78,16.8,9883.2,6
credit_card,175360,15.76,1196.15,209756986.28,7.82,11.56,15134.56,7
car,6021,14.6,610.87,3678023.16,7.96,12.35,9268.91,8
home_improvement,42396,17.05,1040.01,44092122.9,8.07,13.03,14205.23,9
house,2730,21.68,1116.46,3047935.02,8.1,16.91,14634.61,10
other,33747,19.94,757.36,25558770.95,9.06,15.46,9768.26,11
vacation,3916,17.44,365.42,1430987.6,9.18,14.83,6200.58,12
