purpose_dummy,coefficient,p_value,significant_at_5pct
C(purpose)[T.credit_card],0.17649809143924933,5.013351476516312e-06,True
C(purpose)[T.major_purchase],0.16143934126278114,0.0003475488739123212,True
C(purpose)[T.small_business],0.15903941757154022,0.0008464703142293245,True
C(purpose)[T.debt_consolidation],0.15835547806452172,3.4800128372370804e-05,True
C(purpose)[T.home_improvement],0.08098112032321354,0.04473279573535858,True
C(purpose)[T.medical],-0.04714052081962301,0.33933672528381265,False
C(purpose)[T.moving],-0.06405288964770339,0.23364757626656563,False
C(purpose)[T.other],-0.10042222656068854,0.013398603412472237,True
C(purpose)[T.house],-0.10097106163672327,0.1012693499217602,False
C(purpose)[T.renewable_energy],-0.1105042621239117,0.40164116638553926,False
C(purpose)[T.vacation],-0.19376633689717926,0.0007735576536340625,True
