purpose,issue_year,loan_count,default_rate_pct,yoy_change_pct
car,2013,1050,11.71,
car,2014,1768,13.86,2.1499999999999986
car,2015,3203,15.95,2.09
credit_card,2013,32804,13.2,
credit_card,2014,52553,15.55,2.3500000000000014
credit_card,2015,90003,16.82,1.2699999999999996
debt_consolidation,2013,80634,16.36,
debt_consolidation,2014,135059,19.54,3.1799999999999997
debt_consolidation,2015,221792,21.64,2.1000000000000014
home_improvement,2013,7403,14.18,
home_improvement,2014,12307,16.88,2.6999999999999993
home_improvement,2015,22686,18.08,1.1999999999999993
house,2013,675,13.63,
house,2014,724,22.93,9.299999999999999
house,2015,1331,25.09,2.16
major_purchase,2013,2298,12.92,
major_purchase,2014,3688,17.71,4.790000000000001
major_purchase,2015,6728,19.38,1.6699999999999982
medical,2013,889,17.89,
medical,2014,2266,19.33,1.4399999999999977
medical,2015,3682,20.97,1.6400000000000006
moving,2013,639,17.06,
moving,2014,1289,24.2,7.140000000000001
moving,2015,2312,22.75,-1.4499999999999993
other,2013,5842,19.43,
other,2014,9985,18.97,-0.46000000000000085
other,2015,17920,20.64,1.6700000000000017
renewable_energy,2013,51,11.76,
renewable_energy,2014,119,20.17,8.410000000000002
renewable_energy,2015,214,26.17,6.0
small_business,2013,1359,25.75,
small_business,2014,2176,27.39,1.6400000000000006
small_business,2015,3079,28.32,0.9299999999999997
vacation,2013,565,15.58,
vacation,2014,1161,17.05,1.4700000000000006
vacation,2015,2190,18.13,1.0799999999999983
